geo_point_2d;geo_shape;insee;ident;siret;infor;adresse;exploit;th_heur;th_nuit;ta_moivel;th_quar;th_10;np_pmr;ta_type;ta_nres7j;ta_titul;libres;np_veltot;np_2rele;np_hgsup;np_stlav;np_covoit;prepaye;nb_niv;th_4;ta_ntitul;th_3;th_2;th_24;gabari_max;mdate;url;np_vle;np_fourr;th_demi;secteur;np_global;np_velec;gid;gabari_std;titul;propr;np_mobalt;ta_handi;np_hginf;connecte;np_pr;etat;nom;total;typgest;type;an_serv;ta_resmoi;np_2rmot;cdate;np_total;tv_1h;ta_moimot
44.8398053, -0.5830848;"{""coordinates"": [-0.5830848, 44.8398053], ""type"": ""Point""}";33063;CUBPK31;453 335 069 00010;Abonnés seulement;Rue Georges Bonnac 33000 Bordeaux;METPARK;;;;;;4;PAYANT_RESERVE_ABONNES;125.0;;;0;0;0;0;0;0.0;1;;;;;;1.8;2024-04-16T06:45:00+00:00;https://www.mtpk.fr/;6;0;;HYPER_CENTRE;169;0;248;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;0;0;OUVERT;Bonnac;;REGIE_AUTONOME;ENTERRE;2009;80.0;0;2018-06-01T00:00:00+00:00;169;2.5;45.0
44.8223342, -0.5552405;"{""coordinates"": [-0.5552405, 44.8223342], ""type"": ""Point""}";33063;CUBPK94;320 229 644 05241;accès identique pour P4 et P3 Indigo Belcier - Saint Jean;Pont du Guit - angle rue des Gamins 33800 Bordeaux;INDIGO_PARK;8.0;;;2.0;33.0;16;PAYANT_TARIF_HORAIRE;;;0;19;0;0;0;0;0.0;6;18.0;;15.2;12.4;33.0;1.88;2024-10-01T08:14:54+00:00;https://www.group-indigo.com/fr/reference/parking-p3-gare-saint-jean-belcier/;11;0;4.0;CENTRE;765;0;503;1.88;INDIGO_INFRA_FRANCE;SNCF;0;NORMAL_PAYANT;0;1;0;COMPLET;P4 Belcier -  Gare Saint Jean;600;AUTORISATION_OCCUPATION_TEMPORAIRE;SILO;2019;;37;2019-10-01T13:43:51+00:00;765;1.8;
44.8290196, -0.5564456;"{""coordinates"": [-0.5564456, 44.8290196], ""type"": ""Point""}";33063;CUBPK86;43161642400062;;Rue de Saget 33800 Bordeaux;INDIGO_TPS;2.0;4.0;;0.5;12.0;3;PAYANT_TARIF_HORAIRE;50.0;;;0;0;0;0;0;0.0;1;6.0;;4.8;3.6;16.0;4.0;2023-04-24T08:46:08+00:00;https://fr.parkindigo.com/parking/bordeaux-33800/bordeaux-saint-jean-33002600;0;0;1.0;CENTRE;137;0;332;4.0;AUTRE;AUTRE;0;NORMAL_PAYANT;137;0;0;OUVERT;Carrefour - Saint Jean;;GESTION_PRIVEE;SURFACE;2018;50.0;0;2018-11-23T15:40:00+00:00;137;1.8;
44.8837545, -0.569131;"{""coordinates"": [-0.569131, 44.8837545], ""type"": ""Point""}";33063;CUBPK84;80822705200012;abonnement annuel Riverain nocturne 300€ et forfait court-séjour, 3.5€ pour tous les occupants du VL;Rue du Professeur Andre Lavignolle 33000 Bordeaux;KEOLIS;3.5;;0.0;3.5;3.5;5;PAYANT_TARIF_PARC_RELAIS;;0.0;178;20;0;0;0;10;0.0;1;3.5;3.5;3.5;3.5;;2.1;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;3.5;PERIPHERIE;200;5;255;2.1;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;200;LIBRE;Parc-Relais Quarante Journaux;200;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2018;;5;2018-06-01T00:00:00+00:00;200;0.0;
44.8882821, -0.5177862;"{""coordinates"": [-0.5177862, 44.8882821], ""type"": ""Point""}";33032;CUBPK49;80822705200012;3.5€ pour tous les occupants du VL, forfait court séjour;Chemin du Grand Came 33310 Lormont;KEOLIS;3.5;;0.0;3.5;3.5;5;PAYANT_TARIF_PARC_RELAIS;;0.0;76;30;0;0;0;5;0.0;1;3.5;3.5;3.5;3.5;;2.2;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;3.5;PERIPHERIE;242;7;211;2.2;TBM;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;242;LIBRE;Parc-Relais La Gardette Nord;242;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2008;;0;2018-06-01T00:00:00+00:00;242;0.0;
44.7974714, -0.5527252;"{""coordinates"": [-0.5527252, 44.7974714], ""type"": ""Point""}";33039;CUBPK60;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Avenue Lénine 33130 Bègles;KEOLIS;4.5;;0.0;4.5;4.5;4;PAYANT_TARIF_PARC_RELAIS;;0.0;193;30;0;0;0;5;0.0;1;4.5;4.5;4.5;4.5;;2.1;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;4.5;PERIPHERIE;193;7;212;2.1;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;193;FERME;Parc-Relais Gare De Begles;193;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2015;;0;2018-06-01T00:00:00+00:00;193;0.0;
44.9189434, -0.6220381;"{""coordinates"": [-0.6220381, 44.9189434], ""type"": ""Point""}";33075;CUBPK76;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Rue Jean Duvert 33290 Blanquefort;KEOLIS;4.5;;;4.5;4.5;5;PAYANT_TARIF_PARC_RELAIS;;0.0;0;0;0;0;0;5;0.0;1;4.5;4.5;4.5;4.5;;2.1;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;4.5;PERIPHERIE;206;0;214;2.1;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;206;COMPLET;Parc-Relais Gare De Blanquefort;206;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2016;;0;2018-06-01T00:00:00+00:00;206;0.0;
44.8400091, -0.5830064;"{""coordinates"": [-0.5830064, 44.8400091], ""type"": ""Point""}";33063;CUBPK24;453 335 069 00010;Vélos: 45€/an ou 10€/mois;Rue Edmond Michelet 33000 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;10;PAYANT_TARIF_HORAIRE;125.0;;468;30;0;0;8;0;0.0;3;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:13:30+00:00;https://www.mtpk.fr/;2;0;1.6;HYPER_CENTRE;473;0;222;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;FERME;Gambetta;475;REGIE_AUTONOME;ENTERRE;1981;80.0;20;2018-06-01T00:00:00+00:00;473;2.5;45.0
44.8437208, -0.5704253;"{""coordinates"": [-0.5704253, 44.8437208], ""type"": ""Point""}";33063;CUBPK02;43161642400062;Abonnement gratuit pour les vélos;Place Jean Jaures - 33000  BORDEAUX;INDIGO_TPS;2.7;6.7;0.0;0.7;21.1;34;PAYANT_TARIF_HORAIRE;172.0;;866;60;0;0;3;0;0.0;7;10.7;;8.6;6.6;29.0;2.6;2024-10-01T08:13:10+00:00;https://fr.parkindigo.com/parking/bordeaux-33000/bourse-jean-jaures-u3300100;5;0;1.4;HYPER_CENTRE;1661;0;227;2.0;BP3000;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;20;1;0;LIBRE;Bourse - Jaures;1300;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;ENTERRE;2004;86.0;44;2018-06-01T00:00:00+00:00;1661;2.5;38.0
44.8290368, -0.6033091;"{""coordinates"": [-0.6033091, 44.8290368], ""type"": ""Point""}";33063;CUBPK08;320 229 644 05241;2320 sur l'ensemble du CHU;Place Amelie Raba-Leon - 33100 BORDEAUX;INDIGO_PARK;1.5;;;0.0;15.1;45;PAYANT_TARIF_HORAIRE;;;;484;0;0;0;0;0.0;1;6.6;;5.3;3.5;15.1;4.0;2024-03-29T14:03:55+00:00;https://fr.parkindigo.com/parking/bordeaux-33076/groupe-hospitalier-pellegrin-33000800;0;0;0.0;CENTRE;2376;0;250;4.0;INDIGO_INFRA_FRANCE;CHU_GROUPE_HOSPITALIER_PELLEGRIN;0;NORMAL_PAYANT;0;0;0;OUVERT;Chu Groupe Hospitalier Pellegrin;;DELEGATION_DE_SERVICE_PUBLIC_POUR_LE_CHU;SURFACE;2012;;0;2018-06-01T00:00:00+00:00;2376;0.0;
44.8554013, -0.5956902;"{""coordinates"": [-0.5956902, 44.8554013], ""type"": ""Point""}";33069;CUBPK38;453 335 069 00010;"ancien nom; BARRIERE DU MEDOC";Avenue de la Libération 33110 Le Bouscat;METPARK;2.4;3.0;;0.6;8.0;3;PAYANT_TARIF_HORAIRE;70.0;;7;0;0;0;0;0;0.0;2;8.0;;6.4;4.4;8.0;1.8;2024-10-01T08:13:33+00:00;https://www.mtpk.fr/;2;0;1.2;PERIPHERIE;138;0;257;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Liberation;119;REGIE_AUTONOME;ENTERRE;1974;50.0;4;2018-06-01T00:00:00+00:00;138;1.8;30.0
44.8539048, -0.5966865;"{""coordinates"": [-0.5966865, 44.8539048], ""type"": ""Point""}";33069;CUBPK74;453 335 069 00010;ancien nom: IDDAC;Avenue d'Eysines 33200 Bordeaux;METPARK;2.4;3.0;;0.6;8.0;0;PAYANT_TARIF_HORAIRE;70.0;;0;0;0;0;0;0;0.0;1;8.0;;6.4;4.4;8.0;2.1;2024-10-01T08:13:42+00:00;https://www.mtpk.fr/;0;0;1.2;PERIPHERIE;83;0;258;2.1;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;COMPLET;Laharpe;50;REGIE_AUTONOME;SURFACE;2016;50.0;0;2018-06-01T00:00:00+00:00;83;0.0;
44.8651709, -0.5245093;"{""coordinates"": [-0.5245093, 44.8651709], ""type"": ""Point""}";33249;CUBPK45;80822705200012;4.5€ pour tous les occupants du VL;Route de Bordeaux 33130 Lormont;KEOLIS;4.5;;0.0;4.5;4.5;16;PAYANT_TARIF_PARC_RELAIS;;0.0;0;26;0;0;0;10;0.0;5;4.5;4.5;4.5;4.5;;1.9;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;4.5;PERIPHERIE;611;6;265;1.9;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;611;COMPLET;Parc-Relais Buttiniere;601;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;2004;;52;2018-06-01T00:00:00+00:00;611;0.0;
44.8268599, -0.6252913;"{""coordinates"": [-0.6252913, 44.8268599], ""type"": ""Point""}";33281;CUBPK41;80822705200012;abonnement annuel Riverain nocturne 300€;Avenue François Mitterrand 33700 Merignac;KEOLIS;4.5;;0.0;4.5;4.5;9;PAYANT_TARIF_PARC_RELAIS;;0.0;57;30;0;0;0;10;0.0;5;4.5;4.5;4.5;4.5;;2.1;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;6;0;4.5;PERIPHERIE;397;6;269;2.1;TBM;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;397;LIBRE;Parc-Relais Arlac;398;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;2008;;32;2018-06-01T00:00:00+00:00;397;0.0;
44.8315424, -0.6458586;"{""coordinates"": [-0.6458586, 44.8315424], ""type"": ""Point""}";33281;CUBPK53;80822705200012;3.5€ pour tous les occupants du VL, forfait court séjour;250 Avenue de la Marne 33700 Mérignac;KEOLIS;3.5;;0.0;3.5;3.5;8;PAYANT_TARIF_PARC_RELAIS;;0.0;291;14;6;0;0;10;0.0;5;3.5;3.5;3.5;3.5;;2.0;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;4;0;3.5;PERIPHERIE;398;0;270;2.0;TBM;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;398;LIBRE;Parc-Relais Quatre Chemins;398;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;2008;;38;2018-06-01T00:00:00+00:00;398;0.0;
44.843274, -0.5587228;"{""coordinates"": [-0.5587228, 44.843274], ""type"": ""Point""}";33063;CUBPK87;43161642400062;1h30 gratuite sur ticket Carrefour;Allee Serr 33100 Bordeaux;INDIGO_TPS;3.2;12.0;;1.0;14.8;3;PAYANT_TARIF_HORAIRE;90.0;;;0;0;0;0;0;0.0;1;11.0;;9.7;7.4;26.8;1.9;2024-02-28T14:17:34+00:00;https://fr.parkindigo.com/parking/bordeaux-33000/bordeaux-bastide-33001900;0;0;2.0;CENTRE;158;0;333;1.9;AUTRE;AUTRE;0;NORMAL_PAYANT;158;0;0;OUVERT;Ups Carrefour Bastide;;GESTION_PRIVEE;ENTERRE;2018;90.0;0;2018-11-23T15:41:00+00:00;158;1.8;
44.7744313, -0.5641665;"{""coordinates"": [-0.5641665, 44.7744313], ""type"": ""Point""}";33550;CUBPK91;80822705200012;399 places ouvertes à mi 2023, 3.5€ pour tous les occupants du VL, forfait court séjour;Avenue des Pyrénées 33140 Villenave d'Ornon;KEOLIS;3.5;;0.0;3.5;3.5;20;PAYANT_TARIF_PARC_RELAIS;;0.0;166;56;0;0;0;20;0.0;4;3.5;3.5;3.5;3.5;;1.9;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;20;0;3.5;PERIPHERIE;753;4;451;1.9;TBM;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;753;LIBRE;Parc-Relais Villenave Pyrenees;399;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;2019;;28;2019-02-05T15:41:59+00:00;753;0.0;
44.9188127, -0.6232293;"{""coordinates"": [-0.6232293, 44.9188127], ""type"": ""Point""}";33075;CUBPK90;243 300 316 00011;Parking provisoire gratuit, attente extension P+R;Rue Jean Duvert 33290 Blanquefort;BORDEAUX_METROPOLE;0.0;0.0;0.0;0.0;0.0;4;GRATUIT;0.0;;;0;0;0;0;0;0.0;0;0.0;;0.0;0.0;0.0;;2024-04-04T13:44:06+00:00;;0;0;0.0;PERIPHERIE;151;0;450;;AUTRE;BORDEAUX_METROPOLE;0;GRATUIT;0;0;0;OUVERT;Gare Blanquefort;;AUTRE;SURFACE;2018;0.0;0;2019-01-04T16:19:00+00:00;151;0.0;0.0
44.8496312, -0.5703787;"{""coordinates"": [-0.5703787, 44.8496312], ""type"": ""Point""}";33063;CUBPK27;453 335 069 00010;moins 40% pour abonnements aux titulaires  carte européenne Mobilité inclusion;20 Quai des Chartrons 33000 Bordeaux;METPARK;3.2;6.0;;0.8;20.0;14;PAYANT_TARIF_HORAIRE;120.0;;173;0;0;0;2;0;0.0;4;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:13:39+00:00;https://www.mtpk.fr/;2;0;1.6;HYPER_CENTRE;844;0;229;1.8;METPARK;BORDEAUX_METROPOLE;3;AUTRE;0;1;0;LIBRE;Cite Mondiale;842;REGIE_AUTONOME;ENTERRE;1992;75.0;0;2018-06-01T00:00:00+00:00;844;2.5;
44.8464297, -0.5729482;"{""coordinates"": [-0.5729482, 44.8464297], ""type"": ""Point""}";33063;CUBPK18;453 335 069 00010;11 places pour Autocars à 8€ la 1e heure;Allées de Bristol 33000 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;8;PAYANT_TARIF_HORAIRE;110.0;;83;0;0;12;0;0;0.0;1;11.2;;8.8;6.4;20.0;4.0;2024-10-01T08:14:16+00:00;https://www.mtpk.fr/;2;0;1.6;HYPER_CENTRE;399;0;233;4.0;METPARK;BORDEAUX_METROPOLE;5;NORMAL_PAYANT;20;1;0;LIBRE;Allees De Chartres;409;REGIE_AUTONOME;SURFACE;2005;70.0;0;2018-06-01T00:00:00+00:00;399;2.5;
44.8382624, -0.5569718;"{""coordinates"": [-0.5569718, 44.8382624], ""type"": ""Point""}";33063;CUBPK55;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Rue Letellier 33000 Bordeaux;KEOLIS;4.5;;0.0;4.5;4.5;6;PAYANT_TARIF_PARC_RELAIS;;0.0;0;20;0;0;0;5;0.0;1;4.5;4.5;4.5;4.5;;1.9;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;4.5;PERIPHERIE;214;0;234;1.9;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;214;COMPLET;Parc-Relais Stalingrad;214;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2004;;20;2018-06-01T00:00:00+00:00;214;1.8;
44.8380143, -0.5687112;"{""coordinates"": [-0.5687112, 44.8380143], ""type"": ""Point""}";33063;CUBPK17;453 335 069 00010;Moins 40% pour abonnements aux titulaires  carte européenne Mobilité inclusion;11 rue Alsace Lorraine 33000 Bordeaux;METPARK;;;;;;0;PAYANT_RESERVE_ABONNES;100.0;;;0;0;0;0;0;0.0;5;;;;;;1.8;2024-04-16T12:20:10+00:00;https://www.mtpk.fr/;0;0;;HYPER_CENTRE;120;0;243;1.8;METPARK;BORDEAUX_METROPOLE;0;AUTRE;0;0;0;OUVERT;Alsace Lorraine;;REGIE_AUTONOME;ENTERRE;1983;85.0;0;2018-06-01T00:00:00+00:00;1250;2.5;
44.868649, -0.5636551;"{""coordinates"": [-0.5636551, 44.868649], ""type"": ""Point""}";33063;CUBPK103;320 229 644 05241;;29 rue Lucien Faure 33100 Bordeaux;INDIGO_PARK;2.8;21.0;0.0;0.7;21.0;15;PAYANT_TARIF_HORAIRE;130.0;;203;56;0;0;0;0;0.0;5;11.2;;8.4;5.6;28.0;1.85;2024-10-01T08:16:22+00:00;https://fr.parkindigo.com/parking/bordeaux-33300/les-bassins-33001700;3;0;1.4;CENTRE;424;0;743;1.85;INDIGO_PARK;AUTRE;0;NORMAL_PAYANT;0;1;0;LIBRE;Les Bassins;274;GESTION_PRIVEE;SILO;2021;;0;2021-06-16T15:24:34+00:00;424;1.8;65.0
44.8379111, -0.576216;"{""coordinates"": [-0.576216, 44.8379111], ""type"": ""Point""}";33063;CUBPK25;453 335 069 00010;Vélos: 45€/an ou 10€/mois, Moins 40% pour abonnements aux titulaires  carte européenne Mobilité inclusion;Place Pey Berland 33000 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;18;PAYANT_TARIF_HORAIRE;125.0;;261;35;0;0;6;0;0.0;3;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:13:29+00:00;https://www.mtpk.fr/;4;0;1.6;HYPER_CENTRE;667;0;218;1.8;METPARK;BORDEAUX_METROPOLE;0;AUTRE;0;1;0;LIBRE;Pey Berland - Saint Christoly;662;REGIE_AUTONOME;ENTERRE;1984;80.0;38;2018-06-01T00:00:00+00:00;667;2.5;45.0
44.8254904, -0.5485224;"{""coordinates"": [-0.5485224, 44.8254904], ""type"": ""Point""}";33063;CUBPK104;32022964405241;"entrée VL derrière le batiment par rue de la Seiglière, puis à gauche; propriétaire Indigo infra; 413 places dont 50 amodiations, soit 363 places ouvertes";102 quai de Paludate 33800 Bordeaux;INDIGO_PARK;2.4;6.0;;0.6;20.0;9;PAYANT_TARIF_HORAIRE;108.0;;223;0;0;0;0;0;0.0;5;9.6;;7.2;4.8;26.0;1.9;2024-10-01T08:14:24+00:00;https://fr.parkindigo.com/parkings-france/bordeaux;6;0;1.2;CENTRE;363;0;773;1.9;INDIGO_PARK;AUTRE;0;NORMAL_PAYANT;0;1;0;LIBRE;Brienne;300;GESTION_PRIVEE;SILO;2021;108.0;20;2021-10-07T14:46:02+00:00;363;1.8;54.0
44.8276873, -0.5562101;"{""coordinates"": [-0.5562101, 44.8276873], ""type"": ""Point""}";33063;CUBPK105;453 335 069 000 10;pour plus de 2 heures l'arrêt minute est très cher Se reporter sur les places du Parking Saint Jean;Rue Charles Domerq  Nord33800 Bordeaux;METPARK;12.0;;;3.0;57.0;1;PAYANT_TARIF_HORAIRE;;;36;0;0;0;0;0;0.0;1;33.0;;27.0;21.0;57.0;1.8;2024-10-01T08:13:23+00:00;https://www.mtpk.fr/;0;0;6.0;CENTRE;46;0;783;1.8;METPARK;SNCF_GARES_ET_CONNEXIONS_BAIL_45_ANS;0;NORMAL_PAYANT;0;1;0;LIBRE;Gare Saint Jean Arret Minute P1 Nord;46;CONCESSION_DE_SERVICE;ENTERRE;1990;;0;2021-11-04T15:00:43+00:00;46;1.8;
44.8423537, -0.5798571;"{""coordinates"": [-0.5798571, 44.8423537], ""type"": ""Point""}";33063;CUBPK15;37888823401562;;Cours Georges Clemenceau 33000 Bordeaux;Q_PARK;3.4;;;0.8;30.0;7;PAYANT_TARIF_HORAIRE;200.0;;140;0;0;0;2;0;0.0;7;13.4;;9.8;6.8;36.0;1.9;2024-10-01T08:13:12+00:00;https://www.q-park.fr/fr-fr/villes/bordeaux/clémenceau-auditorium/;10;0;1.6;HYPER_CENTRE;379;0;246;1.9;Q_PARK;Q_PARK;0;NORMAL_PAYANT;0;1;0;LIBRE;Clemenceau;379;GESTION_PRIVEE;ENTERRE;2014;200.0;18;2018-06-01T00:00:00+00:00;379;2.5;42.0
44.8291288, -0.5633484;"{""coordinates"": [-0.5633484, 44.8291288], ""type"": ""Point""}";33063;CUBPK04;43161642400062;Abonnement gratuit pour les vélos;Sous la Place André Meunier - 33000  BORDEAUX;INDIGO_TPS;2.3;6.7;0.0;0.5;13.5;7;PAYANT_TARIF_HORAIRE;109.9;;103;30;0;0;0;0;0.0;4;6.6;;5.3;4.0;20.2;1.9;2024-10-01T08:13:26+00:00;https://fr.parkindigo.com/parking/bordeaux-33800/meunier-u3300300;17;0;1.2;CENTRE;330;0;247;1.9;BP3000;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Meunier - Saint Jean;323;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;ENTERRE;2012;57.4;20;2018-06-01T00:00:00+00:00;330;1.8;38.0
44.9446852, -0.6181408;"{""coordinates"": [-0.6181408, 44.9446852], ""type"": ""Point""}";33312;CUBPK96;243 300 316 00011;;Rue de la Fraternité 33290 Parempuyre;BORDEAUX_METROPOLE;0.0;0.0;0.0;0.0;0.0;4;GRATUIT;0.0;;;12;0;0;0;10;0.0;0;0.0;;0.0;0.0;0.0;2.2;2024-04-04T13:44:20+00:00;;2;0;0.0;PERIPHERIE;151;0;603;2.2;BORDEAUX_METROPOLE;BORDEAUX_METROPOLE;0;GRATUIT;0;0;0;OUVERT;Gare Parempuyre;;AUTRE;SURFACE;2009;0.0;0;2020-01-10T14:43:55+00:00;151;0.0;0.0
44.807671, -0.5397772;"{""coordinates"": [-0.5397772, 44.807671], ""type"": ""Point""}";33039;CUBPK72;453 335 069 00010;Vélos: 45€/an ou 10€/mois;13 allee des Francs 33130 Bègles;METPARK;2.4;3.0;10.0;0.6;8.0;9;PAYANT_TARIF_HORAIRE;70.0;;227;19;0;0;0;0;0.0;3;8.0;;6.4;4.4;8.0;3.0;2024-10-01T08:14:30+00:00;https://www.mtpk.fr/;8;0;1.2;PERIPHERIE;405;0;213;1.9;METPARK;METPARK;0;NORMAL_PAYANT;0;1;0;LIBRE;Begles Les Secheries;405;REGIE_AUTONOME;SILO;2016;50.0;6;2018-06-01T00:00:00+00:00;405;0.0;45.0
